applicant_id,age,annual_income,loan_amount,loan_term_months,dti_ratio,employment_years,past_defaults_count,credit_lines_count,repayment_history_score,is_default
CLIENT-10000,56,34000.76,35778.76,60,63.32,7.3,0,11,54.7,0
CLIENT-10001,69,48946.89,17773.56,24,60.53,2.5,1,1,56.8,1
CLIENT-10002,46,28818.42,23655.6,24,30.94,2.9,0,10,73.2,1
CLIENT-10003,32,46736.07,6367.75,48,38.35,3.8,0,7,89.4,0
CLIENT-10004,60,21619.81,26602.13,36,35.64,2.5,0,5,69.1,0
CLIENT-10005,25,33371.02,11319.34,12,58.52,12.3,0,5,76.3,0
CLIENT-10006,38,43911.18,21380.18,36,47.87,9.5,0,8,61.7,0
CLIENT-10007,56,40692.4,4021.52,12,25.3,3.0,0,9,68.1,0
CLIENT-10008,36,13859.43,20767.11,60,34.58,0.0,0,10,57.0,1
CLIENT-10009,40,27905.98,2781.3,36,33.59,11.6,0,1,42.8,0
CLIENT-10010,28,99357.3,11013.3,24,62.76,0.7,0,10,62.3,0
CLIENT-10011,28,27025.4,4048.55,36,19.64,1.4,0,4,86.9,0
CLIENT-10012,41,36661.58,20808.68,12,14.93,0.8,0,11,32.6,0
CLIENT-10013,53,34473.51,14023.49,48,58.43,1.0,0,2,86.5,0
CLIENT-10014,57,93054.8,7788.85,60,59.32,8.1,0,9,74.9,0
CLIENT-10015,41,78764.75,36464.18,48,57.95,4.3,0,9,67.9,1
CLIENT-10016,20,58954.34,7131.9,36,38.1,15.6,0,1,62.1,0
CLIENT-10017,39,20252.93,1600.65,36,46.29,1.3,0,3,77.2,0
CLIENT-10018,19,45049.17,19140.17,12,40.98,3.3,0,10,91.0,0
CLIENT-10019,41,51060.43,3879.19,36,13.82,19.0,0,8,73.9,0
CLIENT-10020,61,23880.97,7291.71,36,42.77,8.8,0,2,66.8,0
CLIENT-10021,47,21540.49,9300.82,36,10.75,6.5,0,2,100.0,0
CLIENT-10022,55,101013.4,4930.54,60,27.87,1.0,0,2,71.3,0
CLIENT-10023,19,30318.64,9455.87,24,61.28,7.3,0,5,45.4,0
CLIENT-10024,38,95701.2,4995.55,12,26.72,2.1,0,9,74.9,0
CLIENT-10025,50,66055.87,14967.98,12,61.69,3.8,2,7,61.2,0
CLIENT-10026,29,46384.75,5652.64,24,23.76,4.7,1,7,64.7,1
CLIENT-10027,39,47644.33,13644.65,12,27.3,4.7,0,2,89.2,0
CLIENT-10028,61,15673.84,30133.88,36,44.56,6.5,2,2,83.2,1
CLIENT-10029,42,41112.39,23101.69,36,51.89,5.4,0,5,43.6,0
CLIENT-10030,66,84983.49,12617.03,24,37.58,0.4,0,7,44.1,0
CLIENT-10031,44,54655.42,6686.75,48,58.52,3.1,0,7,72.1,0
CLIENT-10032,59,39839.02,14934.42,24,12.21,5.5,0,9,84.6,0
CLIENT-10033,45,101433.87,8209.08,36,60.72,1.8,1,3,36.3,0
CLIENT-10034,33,32499.36,15379.43,36,20.8,1.9,1,1,84.7,0
CLIENT-10035,32,25040.92,4021.06,36,58.63,0.7,0,9,100.0,0
CLIENT-10036,64,39826.95,23507.69,60,32.05,2.7,0,1,87.8,0
CLIENT-10037,68,57519.56,13674.0,12,55.8,21.6,0,8,58.1,0
CLIENT-10038,61,12956.12,62690.28,36,46.94,1.7,1,5,79.6,0
CLIENT-10039,69,43084.61,33330.99,48,19.68,3.8,0,8,73.5,1
CLIENT-10040,20,59053.97,19857.38,36,60.49,6.8,0,7,96.7,0
CLIENT-10041,54,30890.84,12249.07,24,23.5,0.1,0,9,87.0,0
CLIENT-10042,68,70557.19,8016.66,36,23.43,11.5,1,2,56.5,0
CLIENT-10043,24,53354.41,25840.2,36,54.78,2.4,1,9,78.8,1
CLIENT-10044,38,131246.15,11377.25,48,15.82,10.2,0,10,57.7,0
CLIENT-10045,26,23147.41,30268.27,12,22.21,0.2,0,5,85.6,0
CLIENT-10046,56,59779.97,17686.84,12,37.7,0.8,1,5,66.2,0
CLIENT-10047,35,19724.28,17775.88,36,55.68,1.9,1,1,69.4,1
CLIENT-10048,21,13777.33,20255.23,24,18.11,2.1,0,6,72.5,0
CLIENT-10049,42,10707.3,7018.19,24,40.12,9.4,0,10,61.7,0
CLIENT-10050,31,50161.07,6532.24,24,49.12,0.1,2,10,71.6,0
CLIENT-10051,67,40560.45,6376.05,24,57.33,5.1,2,10,76.9,1
CLIENT-10052,26,27243.48,27812.69,24,61.46,0.7,1,10,65.8,0
CLIENT-10053,43,12530.2,6891.16,60,53.16,8.7,0,3,73.3,0
CLIENT-10054,19,23999.01,7519.0,24,45.91,7.5,0,10,58.8,0
CLIENT-10055,37,36404.8,19462.83,24,33.85,3.5,0,3,51.5,1
CLIENT-10056,45,58448.52,11198.84,24,16.17,1.2,1,3,69.5,0
CLIENT-10057,64,35956.98,10240.89,60,49.04,5.0,0,4,85.3,0
CLIENT-10058,24,42244.79,9637.45,48,64.6,0.8,0,9,84.8,0
CLIENT-10059,61,28978.82,2622.96,48,50.52,1.1,0,8,83.8,0
CLIENT-10060,25,103728.74,6789.84,24,10.92,4.9,1,6,85.1,0
CLIENT-10061,64,19713.33,30549.21,48,37.29,23.7,0,8,72.8,0
CLIENT-10062,52,23871.89,9158.35,36,43.81,11.1,0,8,61.8,0
CLIENT-10063,31,27026.82,3532.13,24,47.93,4.5,0,1,66.1,0
CLIENT-10064,34,50293.07,6597.22,36,49.58,3.9,0,9,68.2,0
CLIENT-10065,53,19471.05,17186.81,48,40.7,32.1,0,1,60.1,0
CLIENT-10066,67,39396.46,16950.02,48,22.28,4.0,3,11,78.9,1
CLIENT-10067,57,40092.56,10872.63,48,61.82,2.7,0,2,60.8,1
CLIENT-10068,21,23941.9,8246.61,60,48.32,12.0,0,9,42.3,0
CLIENT-10069,19,44266.69,5006.35,24,23.03,1.3,0,7,85.9,0
CLIENT-10070,23,19837.15,17287.34,36,27.73,0.5,1,10,77.7,0
CLIENT-10071,59,18578.41,24016.81,12,60.71,5.0,1,1,44.1,1
CLIENT-10072,21,38552.01,32932.52,48,58.81,0.5,0,3,60.3,0
CLIENT-10073,46,13415.24,6140.05,24,32.28,2.3,3,1,68.6,0
CLIENT-10074,35,10027.82,34747.61,48,12.11,2.8,0,5,70.0,0
CLIENT-10075,43,49996.08,12840.65,36,12.67,4.0,0,4,100.0,0
CLIENT-10076,61,68144.24,13610.55,36,25.62,23.9,1,8,55.6,0
CLIENT-10077,51,27444.42,24972.1,12,44.6,1.2,0,9,54.7,0
CLIENT-10078,27,24322.51,9148.38,36,42.13,2.4,0,4,89.1,0
CLIENT-10079,53,66391.29,2937.57,48,44.86,0.7,2,3,67.3,1
CLIENT-10080,31,18263.82,21881.64,12,49.45,4.7,0,4,87.6,0
CLIENT-10081,48,16026.14,17051.6,36,11.05,6.5,0,3,66.0,0
CLIENT-10082,65,55524.62,10381.77,12,15.78,3.3,0,6,88.3,0
CLIENT-10083,32,36512.97,20656.22,36,29.77,1.4,0,1,65.8,1
CLIENT-10084,25,68797.73,23833.81,24,18.52,4.8,1,2,68.1,0
CLIENT-10085,31,10055.15,4635.95,24,14.14,3.9,0,8,54.4,0
CLIENT-10086,40,15671.45,13571.93,48,45.25,0.9,0,3,95.9,0
CLIENT-10087,57,36629.13,2712.72,36,54.84,2.6,1,4,58.7,1
