transaction_id,amount_usd,distance_from_home_km,transaction_hour,is_new_device,velocity_txn_per_min,failed_pin_attempts,is_foreign_country,is_fraud
TXN-100000,24.59,1.0,19,0,1,0,0,0
TXN-100001,50.32,9.2,22,0,1,0,0,0
TXN-100002,36.71,3.5,11,0,1,0,0,0
TXN-100003,77.14,5.4,22,0,1,0,0,0
TXN-100004,20.21,2.4,22,0,1,0,0,0
TXN-100005,10.34,4.8,22,0,1,0,0,0
TXN-100006,36.71,1.0,16,1,1,0,0,0
TXN-100007,147.32,6.3,19,0,1,0,0,0
TXN-100008,183.53,2.7,16,0,2,0,0,0
TXN-100009,54.38,3.8,20,0,1,0,0,0
TXN-100010,63.59,2.8,8,0,1,0,0,0
TXN-100011,470.8,8.6,10,0,1,0,0,0
TXN-100012,974.75,9.4,18,0,1,0,0,0
TXN-100013,37.92,9.2,18,0,1,0,0,0
TXN-100014,112.49,4.0,14,0,2,0,0,0
TXN-100015,18.6,2.1,16,0,1,0,0,0
TXN-100016,162.36,1.9,13,0,1,0,0,0
TXN-100017,62.85,8.9,20,0,1,0,1,0
TXN-100018,81.67,12.7,11,0,2,0,0,0
TXN-100019,31.92,0.3,19,0,1,0,0,0
TXN-100020,7.58,21.9,17,0,1,0,0,0
TXN-100021,45.94,2.0,18,0,1,0,0,0
TXN-100022,11.38,1.2,16,0,1,0,0,0
TXN-100023,106.06,0.7,18,0,1,0,0,0
TXN-100024,20.89,0.6,9,0,1,0,0,0
TXN-100025,21.82,4.1,8,0,1,0,0,0
TXN-100026,24.22,0.1,13,0,1,0,0,0
TXN-100027,79.67,1.9,8,0,1,0,0,0
TXN-100028,47.25,1.0,9,0,1,0,0,0
TXN-100029,59.48,1.2,8,0,1,0,0,0
TXN-100030,43.1,2.8,18,0,2,0,0,0
TXN-100031,94.02,17.5,19,0,1,0,0,0
TXN-100032,104.6,6.0,18,0,1,0,0,0
TXN-100033,14.52,4.4,21,0,1,0,0,0
TXN-100034,79.29,1.6,16,0,1,0,0,0
TXN-100035,30.37,0.7,14,0,1,0,0,0
TXN-100036,72.13,9.0,15,1,1,0,0,0
TXN-100037,29.65,2.4,8,0,2,0,0,0
TXN-100038,16.99,2.2,7,0,1,0,0,0
TXN-100039,7.98,3.8,15,0,1,0,0,0
TXN-100040,79.03,1.0,18,1,2,0,0,0
TXN-100041,22.46,3.5,9,0,1,0,0,0
TXN-100042,42.5,1.4,20,0,2,0,0,0
TXN-100043,22.84,2.9,13,1,1,0,0,0
TXN-100044,25.19,1.3,12,0,1,0,0,0
TXN-100045,23.16,10.3,18,0,1,0,0,0
TXN-100046,30.79,3.7,15,0,1,0,0,0
TXN-100047,12.62,1.7,8,0,2,0,0,0
TXN-100048,24.36,7.4,19,0,1,0,0,0
TXN-100049,32.84,7.2,22,0,1,0,0,0
TXN-100050,7.68,1.8,20,0,1,0,0,0
TXN-100051,89.06,3.9,7,0,1,0,0,0
TXN-100052,110.08,4.5,16,0,2,0,0,0
TXN-100053,38.49,2.1,21,0,1,0,0,0
TXN-100054,94.3,0.6,19,0,1,0,1,0
TXN-100055,46.35,13.6,9,0,1,0,0,0
TXN-100056,173.1,1.8,14,0,1,0,0,0
TXN-100057,34.44,5.9,8,1,1,0,0,0
TXN-100058,136.92,12.4,15,0,2,0,0,0
TXN-100059,52.15,3.0,13,0,1,0,0,0
TXN-100060,79.08,12.1,19,0,1,0,0,0
TXN-100061,1390.1,136.4,2,1,4,2,1,1
TXN-100062,76.12,1.6,14,0,1,0,0,0
TXN-100063,50.87,0.4,13,0,2,0,1,0
TXN-100064,34.44,11.6,14,0,1,0,0,0
TXN-100065,96.73,0.7,20,1,2,1,0,0
TXN-100066,36.68,6.9,20,0,1,0,0,0
TXN-100067,48.97,10.6,21,0,1,0,0,0
TXN-100068,21.92,0.2,8,0,1,0,0,0
TXN-100069,64.1,2.6,19,0,1,0,0,0
TXN-100070,15.89,3.0,10,1,1,0,0,0
TXN-100071,55.59,0.6,11,1,2,0,0,0
TXN-100072,36.06,1.8,10,0,1,0,0,0
TXN-100073,64.92,3.7,13,0,1,0,0,0
TXN-100074,23.9,0.5,14,0,1,0,0,0
TXN-100075,37.04,3.0,8,1,2,0,0,0
TXN-100076,9.72,0.3,14,0,1,0,0,0
TXN-100077,12.01,18.9,22,0,1,0,0,0
TXN-100078,29.07,1.6,17,0,1,0,0,0
TXN-100079,56.71,0.4,14,0,1,0,0,0
TXN-100080,31.78,11.8,18,0,2,0,0,0
TXN-100081,40.48,3.3,11,0,1,0,0,0
TXN-100082,52.83,0.9,19,1,1,0,0,0
TXN-100083,50.13,2.5,8,0,2,0,0,0
TXN-100084,169.91,1.0,10,0,1,0,0,0
TXN-100085,42.7,2.1,21,0,1,0,0,0
TXN-100086,32.81,2.0,22,0,1,0,0,0
TXN-100087,51.68,3.7,18,0,1,0,0,0
TXN-100088,144.49,4.4,10,0,1,0,0,0
TXN-100089,24.94,15.3,12,0,1,0,0,0
TXN-100090,114.13,5.3,21,0,1,1,0,0
TXN-100091,33.83,5.7,6,1,1,1,0,0
TXN-100092,253.65,2.8,18,0,1,0,0,0
TXN-100093,16.52,5.7,21,0,1,0,0,0
TXN-100094,114.08,5.5,15,0,1,0,0,0
TXN-100095,45.54,2.4,12,0,1,0,0,0
TXN-100096,102.35,8.5,19,0,1,0,0,0
TXN-100097,318.7,5.0,8,0,2,0,0,0
TXN-100098,107.92,3.0,21,0,1,0,0,0
TXN-100099,19.95,2.5,11,0,1,0,0,0
TXN-100100,64.19,1.5,21,0,1,0,0,0
TXN-100101,16.47,2.4,17,0,1,0,1,0
TXN-100102,130.74,2.6,11,0,1,0,0,0
TXN-100103,30.59,0.8,18,0,1,1,0,0
TXN-100104,54.63,1.7,10,0,1,0,0,0
TXN-100105,80.35,9.1,22,0,1,0,0,0
TXN-100106,76.88,0.1,18,0,1,1,0,0
TXN-100107,53.48,0.6,18,0,1,0,0,0
TXN-100108,58.76,4.6,7,0,1,0,0,0
TXN-100109,58.63,3.9,14,0,2,1,0,0
TXN-100110,97.03,5.8,17,1,2,0,0,0
TXN-100111,72.36,11.0,17,0,2,0,0,0
TXN-100112,15.15,1.1,6,0,1,0,0,0
TXN-100113,32.96,3.8,14,0,1,0,0,0
TXN-100114,34.17,1.9,18,0,1,0,0,0
TXN-100115,237.18,0.2,17,0,1,0,0,0
TXN-100116,232.76,9.9,21,0,1,0,0,0
TXN-100117,12.77,2.0,18,1,1,1,0,0
TXN-100118,15.1,1.7,11,0,1,0,0,0
TXN-100119,72.04,9.8,13,0,1,0,0,0
TXN-100120,36.48,1.0,8,0,2,0,0,0
TXN-100121,32.04,13.5,15,0,1,0,0,0
TXN-100122,15.24,3.9,8,0,1,0,0,0
TXN-100123,46.89,6.3,6,0,1,0,0,0
TXN-100124,26.75,7.6,21,0,1,0,0,0
TXN-100125,47.06,4.9,9,0,1,1,0,0
TXN-100126,28.14,3.9,12,0,1,0,0,0
TXN-100127,11.54,3.2,17,0,1,0,0,0
TXN-100128,71.74,13.9,11,0,1,0,0,0
TXN-100129,80.45,6.6,11,0,2,0,1,0
TXN-100130,33.27,2.0,21,0,1,0,0,0
TXN-100131,15.4,110.8,0,0,5,1,1,1
TXN-100132,27.49,4.9,18,1,1,0,0,0
TXN-100133,41.83,0.0,20,0,2,0,0,0
TXN-100134,27.0,3.5,19,0,1,0,0,0
TXN-100135,78.02,2.8,10,0,1,0,0,0
TXN-100136,54.16,5.7,10,0,2,0,0,0
TXN-100137,36.01,1.7,12,0,1,0,0,0
TXN-100138,18.49,1.1,20,0,1,0,0,0
TXN-100139,25.12,4.4,21,0,1,0,0,0
TXN-100140,138.81,4.1,22,0,1,0,0,0
TXN-100141,79.42,3.1,13,1,1,0,0,0
TXN-100142,67.49,0.4,19,0,1,0,0,0
TXN-100143,21.33,5.2,13,0,1,0,0,0
TXN-100144,115.88,1.8,9,0,1,0,0,0
TXN-100145,22.66,4.5,15,0,1,0,0,0
TXN-100146,72.7,9.6,13,0,2,0,0,0
TXN-100147,57.74,9.9,18,0,2,1,0,0
TXN-100148,82.07,0.5,21,0,1,0,0,0
TXN-100149,15.45,6.8,11,0,1,0,0,0
TXN-100150,19.47,4.7,17,1,1,1,0,0
TXN-100151,39.39,2.9,18,0,1,0,0,0
TXN-100152,114.89,1.6,22,0,1,1,0,0
TXN-100153,43.76,12.3,19,0,1,0,0,0
TXN-100154,26.09,3.5,17,0,1,0,0,0
TXN-100155,33.62,7.8,20,0,1,0,0,0
TXN-100156,28.52,3.0,15,0,1,0,0,0
TXN-100157,17.4,6.0,14,0,1,0,0,0
TXN-100158,34.15,0.9,6,0,2,0,0,0
TXN-100159,95.27,1.0,17,0,1,0,0,0
TXN-100160,72.92,18.7,7,0,1,0,0,0
TXN-100161,701.63,76.2,3,1,5,3,1,1
TXN-100162,21.84,0.0,21,0,1,0,0,0
TXN-100163,15.34,2.8,9,0,1,0,0,0
TXN-100164,355.68,55.2,3,1,4,0,0,1
TXN-100165,78.78,4.6,17,0,2,0,0,0
TXN-100166,16.79,7.2,20,0,1,0,0,0
TXN-100167,9.3,2.8,17,0,2,0,0,0
TXN-100168,9.27,18.3,8,0,1,0,0,0
TXN-100169,2190.2,163.7,23,1,3,0,0,1
TXN-100170,58.25,3.3,6,0,1,0,0,0
TXN-100171,17.2,0.0,17,1,1,0,0,0
TXN-100172,235.15,10.0,8,0,1,0,0,0
TXN-100173,47.58,8.9,12,0,2,1,1,0
TXN-100174,74.49,0.3,10,0,1,0,0,0
TXN-100175,71.81,0.6,18,0,1,0,0,0
TXN-100176,78.45,3.3,10,0,1,1,0,0
TXN-100177,38.57,0.7,9,0,1,0,0,0
TXN-100178,97.57,3.6,14,0,1,0,0,0
TXN-100179,40.45,1.8,10,0,1,0,0,0
TXN-100180,38.62,6.2,7,1,1,0,0,0
TXN-100181,5.36,0.4,10,0,1,0,0,0
TXN-100182,23.47,4.7,11,0,2,0,0,0
TXN-100183,43.42,7.5,11,0,1,0,0,0
TXN-100184,52.89,3.9,14,0,1,0,0,0
TXN-100185,17.34,8.8,14,0,1,0,0,0
TXN-100186,128.24,4.3,19,0,1,0,0,0
TXN-100187,36.63,3.9,8,0,1,0,0,0
TXN-100188,5.91,5.5,6,0,1,0,0,0
TXN-100189,28.71,1.9,18,0,1,0,0,0
TXN-100190,163.88,11.0,20,0,1,0,0,0
TXN-100191,26.05,1.4,14,0,1,0,0,0
TXN-100192,113.33,4.4,20,0,1,0,0,0
TXN-100193,28.25,0.7,14,0,1,0,0,0
TXN-100194,78.73,1.3,18,0,1,0,0,0
TXN-100195,53.69,7.6,15,0,1,0,0,0
TXN-100196,7.59,7.5,17,0,1,0,0,0
TXN-100197,201.47,0.6,16,0,1,0,0,0
TXN-100198,131.75,2.7,22,0,2,0,0,0
TXN-100199,26.58,2.9,8,0,1,0,0,0
TXN-100200,104.93,5.2,18,0,1,0,0,0
TXN-100201,49.98,3.9,13,0,1,0,0,0
TXN-100202,18.58,12.7,12,0,1,0,0,0
TXN-100203,26.5,2.5,11,0,1,0,0,0
TXN-100204,174.16,1.7,8,0,1,0,0,0
TXN-100205,16.52,3.0,12,0,1,0,0,0
TXN-100206,65.59,20.0,8,0,1,0,0,0
TXN-100207,54.53,1.6,12,0,1,0,0,0
TXN-100208,48.7,0.0,10,0,1,0,0,0
TXN-100209,21.19,1.1,20,0,1,0,0,0
TXN-100210,148.82,8.7,20,0,2,0,0,0
TXN-100211,36.95,1.8,11,0,2,0,0,0
TXN-100212,116.12,3.6,20,0,1,0,0,0
TXN-100213,53.05,1.5,13,0,1,0,0,0
TXN-100214,56.26,0.6,11,0,1,0,0,0
